#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Col17a1	Krt15	10090.ENSMUSP00000026045	10090.ENSMUSP00000103034	0	0	0	0	0.348	0.095	0	0.414	0.624
Col17a1	Col7a1	10090.ENSMUSP00000026045	10090.ENSMUSP00000107701	0	0	0	0.597	0.146	0	0.400	0.381	0.655
Col17a1	Dsp	10090.ENSMUSP00000026045	10090.ENSMUSP00000115062	0	0	0	0	0.096	0.118	0	0.624	0.674
Col7a1	Krt14	10090.ENSMUSP00000107701	10090.ENSMUSP00000007272	0	0	0	0	0.105	0.095	0	0.458	0.523
Col7a1	Krt5	10090.ENSMUSP00000107701	10090.ENSMUSP00000023709	0	0	0	0	0.099	0.095	0	0.375	0.445
Col7a1	Cnih2	10090.ENSMUSP00000107701	10090.ENSMUSP00000025805	0	0	0	0	0.043	0	0.500	0	0.501
Col7a1	Col17a1	10090.ENSMUSP00000107701	10090.ENSMUSP00000026045	0	0	0	0.597	0.146	0	0.400	0.381	0.655
Cxcr4	Pparg	10090.ENSMUSP00000053489	10090.ENSMUSP00000000450	0	0	0	0	0.091	0	0	0.431	0.460
Cxcr4	Mmp13	10090.ENSMUSP00000053489	10090.ENSMUSP00000015394	0	0	0	0	0	0	0	0.661	0.661
Cxcr4	Arg1	10090.ENSMUSP00000053489	10090.ENSMUSP00000020161	0	0	0	0	0	0	0	0.500	0.499
Cxcr4	Lgr5	10090.ENSMUSP00000053489	10090.ENSMUSP00000020350	0	0	0	0	0	0	0	0.521	0.521
Cxcr4	Mdk	10090.ENSMUSP00000053489	10090.ENSMUSP00000028672	0	0	0	0	0.044	0	0	0.521	0.522
Cxcr4	Il1b	10090.ENSMUSP00000053489	10090.ENSMUSP00000028881	0	0	0	0	0.108	0	0	0.811	0.824
Cxcr4	Enpep	10090.ENSMUSP00000053489	10090.ENSMUSP00000029658	0	0	0	0	0	0	0	0.512	0.512
Cxcr4	Ptgs2	10090.ENSMUSP00000053489	10090.ENSMUSP00000035065	0	0	0	0	0.086	0	0	0.632	0.649
Cxcr4	Twist1	10090.ENSMUSP00000053489	10090.ENSMUSP00000040089	0	0	0	0	0.076	0	0	0.410	0.431
Cxcr4	Notch3	10090.ENSMUSP00000053489	10090.ENSMUSP00000085016	0	0	0	0	0.110	0	0	0.362	0.407
Cxcr4	Rgs1	10090.ENSMUSP00000053489	10090.ENSMUSP00000140624	0	0	0	0	0.226	0	0	0.303	0.438
Cxcr4	Vwf	10090.ENSMUSP00000053489	10090.ENSMUSP00000107873	0	0	0	0	0.060	0	0	0.625	0.632
Cxcr4	Gng2	10090.ENSMUSP00000053489	10090.ENSMUSP00000125697	0	0	0	0	0.085	0.107	0.900	0.089	0.915
Cxcr4	Gnao1	10090.ENSMUSP00000053489	10090.ENSMUSP00000148550	0	0	0	0	0	0.111	0.900	0.172	0.919
Dlg2	Grid1	10090.ENSMUSP00000102814	10090.ENSMUSP00000044009	0	0	0	0	0.112	0.138	0	0.436	0.530
Dlg2	Grik2	10090.ENSMUSP00000102814	10090.ENSMUSP00000151921	0	0	0	0	0.130	0.132	0	0.328	0.448
Dsp	Krt14	10090.ENSMUSP00000115062	10090.ENSMUSP00000007272	0	0	0	0	0.096	0.336	0	0.463	0.650
Dsp	Perp	10090.ENSMUSP00000115062	10090.ENSMUSP00000019998	0	0	0	0	0.423	0	0.500	0.479	0.836
Dsp	Krt5	10090.ENSMUSP00000115062	10090.ENSMUSP00000023709	0	0	0	0	0.122	0.092	0	0.385	0.467
Dsp	Col17a1	10090.ENSMUSP00000115062	10090.ENSMUSP00000026045	0	0	0	0	0.096	0.118	0	0.624	0.674
Dsp	Krt17	10090.ENSMUSP00000115062	10090.ENSMUSP00000079699	0	0	0	0	0.082	0.062	0	0.368	0.409
Enpep	Krt5	10090.ENSMUSP00000029658	10090.ENSMUSP00000023709	0	0	0	0	0.047	0	0	0.462	0.465
Enpep	Cxcr4	10090.ENSMUSP00000029658	10090.ENSMUSP00000053489	0	0	0	0	0	0	0	0.512	0.512
Epha2	Mdk	10090.ENSMUSP00000006614	10090.ENSMUSP00000028672	0	0	0	0	0	0.044	0	0.411	0.412
Epha2	Pak3	10090.ENSMUSP00000006614	10090.ENSMUSP00000108484	0	0	0	0.566	0	0.084	0.400	0.054	0.434
Epha2	Perp	10090.ENSMUSP00000006614	10090.ENSMUSP00000019998	0	0	0	0	0.071	0	0	0.516	0.531
Gabrb1	Npy1r	10090.ENSMUSP00000031122	10090.ENSMUSP00000045530	0	0	0	0	0.135	0	0	0.373	0.435
Gnao1	Uchl1	10090.ENSMUSP00000148550	10090.ENSMUSP00000031131	0	0	0	0	0.163	0.289	0	0.175	0.466
Gnao1	Cxcr4	10090.ENSMUSP00000148550	10090.ENSMUSP00000053489	0	0	0	0	0	0.111	0.900	0.172	0.919
Gnao1	Gng2	10090.ENSMUSP00000148550	10090.ENSMUSP00000125697	0	0	0	0	0.082	0.641	0.900	0.348	0.975
Gnao1	Trpc1	10090.ENSMUSP00000148550	10090.ENSMUSP00000139672	0	0	0	0	0.097	0	0	0.437	0.469
Gnao1	Rgs1	10090.ENSMUSP00000148550	10090.ENSMUSP00000140624	0	0	0	0	0.090	0.302	0	0.530	0.676
Gng2	Htr2a	10090.ENSMUSP00000125697	10090.ENSMUSP00000047774	0	0	0	0	0	0.534	0	0	0.534
Gng2	Cxcr4	10090.ENSMUSP00000125697	10090.ENSMUSP00000053489	0	0	0	0	0.085	0.107	0.900	0.089	0.915
Gng2	Gnao1	10090.ENSMUSP00000125697	10090.ENSMUSP00000148550	0	0	0	0	0.082	0.641	0.900	0.348	0.975
Grid1	Dlg2	10090.ENSMUSP00000044009	10090.ENSMUSP00000102814	0	0	0	0	0.112	0.138	0	0.436	0.530
Grik2	Cnih2	10090.ENSMUSP00000151921	10090.ENSMUSP00000025805	0	0	0	0	0.099	0	0.720	0.366	0.826
Grik2	Dlg2	10090.ENSMUSP00000151921	10090.ENSMUSP00000102814	0	0	0	0	0.130	0.132	0	0.328	0.448
Grik2	Ptprd	10090.ENSMUSP00000151921	10090.ENSMUSP00000133468	0	0	0	0	0.087	0	0	0.486	0.511
Hand2	Hoxb9	10090.ENSMUSP00000044983	10090.ENSMUSP00000000010	0	0	0	0	0.061	0	0	0.400	0.412
Hand2	Hoxd13	10090.ENSMUSP00000044983	10090.ENSMUSP00000001872	0	0	0	0	0.079	0.293	0	0.524	0.663
Hand2	Arg1	10090.ENSMUSP00000044983	10090.ENSMUSP00000020161	0	0	0	0	0.079	0	0	0.491	0.511
Hand2	Il1b	10090.ENSMUSP00000044983	10090.ENSMUSP00000028881	0	0	0	0	0.054	0	0	0.661	0.665
Hand2	Twist1	10090.ENSMUSP00000044983	10090.ENSMUSP00000040089	0	0	0	0.684	0.079	0.049	0	0.462	0.487
Hand2	Isl1	10090.ENSMUSP00000044983	10090.ENSMUSP00000044879	0	0	0	0	0	0.067	0	0.716	0.723
Hand2	Il1rl1	10090.ENSMUSP00000044983	10090.ENSMUSP00000095379	0	0	0	0	0.052	0	0	0.491	0.496
Hand2	Serpinb7	10090.ENSMUSP00000044983	10090.ENSMUSP00000083896	0	0	0	0	0	0	0	0.708	0.708
Hoxb9	Hand2	10090.ENSMUSP00000000010	10090.ENSMUSP00000044983	0	0	0	0	0.061	0	0	0.400	0.412
Hoxb9	Btg2	10090.ENSMUSP00000000010	10090.ENSMUSP00000020692	0	0	0	0	0	0.077	0	0.848	0.854
Hoxd10	Hoxd13	10090.ENSMUSP00000062412	10090.ENSMUSP00000001872	0	0	0	0.615	0.401	0	0	0.384	0.615
Hoxd10	Twist1	10090.ENSMUSP00000062412	10090.ENSMUSP00000040089	0	0	0	0	0.127	0.058	0	0.372	0.439
Hoxd13	Hoxd10	10090.ENSMUSP00000001872	10090.ENSMUSP00000062412	0	0	0	0.615	0.401	0	0	0.384	0.615
Hoxd13	Hand2	10090.ENSMUSP00000001872	10090.ENSMUSP00000044983	0	0	0	0	0.079	0.293	0	0.524	0.663
Hpgds	Pparg	10090.ENSMUSP00000031982	10090.ENSMUSP00000000450	0	0	0	0	0	0.051	0	0.413	0.419
Hpgds	Ptgs2	10090.ENSMUSP00000031982	10090.ENSMUSP00000035065	0	0	0	0	0	0	0.900	0.481	0.945
Htr2a	Gng2	10090.ENSMUSP00000047774	10090.ENSMUSP00000125697	0	0	0	0	0	0.534	0	0	0.534
Ier3	Btg2	10090.ENSMUSP00000003635	10090.ENSMUSP00000020692	0	0	0	0	0.118	0	0	0.360	0.411
Ier3	Il1b	10090.ENSMUSP00000003635	10090.ENSMUSP00000028881	0	0	0	0	0.251	0	0	0.287	0.443
Igfbp5	Mmp13	10090.ENSMUSP00000027377	10090.ENSMUSP00000015394	0	0	0	0	0.077	0.097	0	0.342	0.403
Igfbp5	Lgr5	10090.ENSMUSP00000027377	10090.ENSMUSP00000020350	0	0	0	0	0.054	0.127	0	0.428	0.487
Igfbp5	Adamts5	10090.ENSMUSP00000027377	10090.ENSMUSP00000023611	0	0	0	0	0.068	0	0	0.391	0.409
Igfbp5	Notch3	10090.ENSMUSP00000027377	10090.ENSMUSP00000085016	0	0	0	0	0.178	0	0	0.319	0.416
Igfbp5	Pappa	10090.ENSMUSP00000027377	10090.ENSMUSP00000081545	0	0	0	0	0.061	0.747	0	0.663	0.913
Il12rb2	Il1b	10090.ENSMUSP00000010605	10090.ENSMUSP00000028881	0	0	0	0	0.053	0	0	0.398	0.406
Il1b	Pparg	10090.ENSMUSP00000028881	10090.ENSMUSP00000000450	0	0	0	0	0.100	0	0	0.802	0.814
Il1b	Ier3	10090.ENSMUSP00000028881	10090.ENSMUSP00000003635	0	0	0	0	0.251	0	0	0.287	0.443
Il1b	Il12rb2	10090.ENSMUSP00000028881	10090.ENSMUSP00000010605	0	0	0	0	0.053	0	0	0.398	0.406
Il1b	Mmp13	10090.ENSMUSP00000028881	10090.ENSMUSP00000015394	0	0	0	0	0.195	0	0	0.803	0.834
Il1b	Arg1	10090.ENSMUSP00000028881	10090.ENSMUSP00000020161	0	0	0	0	0.107	0	0	0.801	0.815
Il1b	Adamts5	10090.ENSMUSP00000028881	10090.ENSMUSP00000023611	0	0	0	0	0	0	0	0.707	0.707
Il1b	Mdk	10090.ENSMUSP00000028881	10090.ENSMUSP00000028672	0	0	0	0	0	0	0	0.604	0.604
Il1b	Naip6	10090.ENSMUSP00000028881	10090.ENSMUSP00000112867	0	0	0	0	0.107	0	0	0.356	0.400
Il1b	Map2	10090.ENSMUSP00000028881	10090.ENSMUSP00000109646	0	0	0	0	0	0	0	0.425	0.425
Il1b	Npy1r	10090.ENSMUSP00000028881	10090.ENSMUSP00000045530	0	0	0	0	0	0	0	0.459	0.459
Il1b	Irs2	10090.ENSMUSP00000028881	10090.ENSMUSP00000038514	0	0	0	0	0	0	0	0.479	0.479
Il1b	Vwf	10090.ENSMUSP00000028881	10090.ENSMUSP00000107873	0	0	0	0	0.050	0	0	0.612	0.616
Il1b	Hand2	10090.ENSMUSP00000028881	10090.ENSMUSP00000044983	0	0	0	0	0.054	0	0	0.661	0.665
Il1b	Serpinb7	10090.ENSMUSP00000028881	10090.ENSMUSP00000083896	0	0	0	0	0.053	0	0	0.692	0.696
Il1b	Tlr5	10090.ENSMUSP00000028881	10090.ENSMUSP00000106625	0	0	0	0	0.080	0	0	0.748	0.759
Il1b	Cxcr4	10090.ENSMUSP00000028881	10090.ENSMUSP00000053489	0	0	0	0	0.108	0	0	0.811	0.824
Il1b	Il1rl1	10090.ENSMUSP00000028881	10090.ENSMUSP00000095379	0	0	0	0	0.066	0.465	0	0.721	0.848
Il1b	Ptgs2	10090.ENSMUSP00000028881	10090.ENSMUSP00000035065	0	0	0	0	0.453	0	0	0.894	0.939
Il1rl1	Il1b	10090.ENSMUSP00000095379	10090.ENSMUSP00000028881	0	0	0	0	0.066	0.465	0	0.721	0.848
Il1rl1	Hand2	10090.ENSMUSP00000095379	10090.ENSMUSP00000044983	0	0	0	0	0.052	0	0	0.491	0.496
Il1rl1	Serpinb7	10090.ENSMUSP00000095379	10090.ENSMUSP00000083896	0	0	0	0	0.049	0	0	0.530	0.534
Irs2	Pparg	10090.ENSMUSP00000038514	10090.ENSMUSP00000000450	0	0	0	0	0	0.060	0	0.610	0.618
Irs2	Il1b	10090.ENSMUSP00000038514	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.479	0.479
Irs2	Pou3f1	10090.ENSMUSP00000038514	10090.ENSMUSP00000137374	0	0	0.399	0	0.047	0	0	0	0.402
Irs2	Ptprf	10090.ENSMUSP00000038514	10090.ENSMUSP00000039368	0	0	0	0	0.047	0.104	0.900	0.107	0.913
Isl1	Pax3	10090.ENSMUSP00000044879	10090.ENSMUSP00000004994	0	0	0	0	0.054	0.085	0	0.582	0.606
Isl1	Lgr5	10090.ENSMUSP00000044879	10090.ENSMUSP00000020350	0	0	0	0	0.052	0	0	0.410	0.418
Isl1	Lhx4	10090.ENSMUSP00000044879	10090.ENSMUSP00000027740	0	0	0	0.762	0.059	0.611	0.800	0.234	0.936
Isl1	Bcl11b	10090.ENSMUSP00000044879	10090.ENSMUSP00000068258	0	0	0	0	0.083	0.065	0	0.434	0.472
Isl1	Pou3f1	10090.ENSMUSP00000044879	10090.ENSMUSP00000137374	0	0	0	0	0.051	0.063	0	0.455	0.473
Isl1	Tfap2a	10090.ENSMUSP00000044879	10090.ENSMUSP00000105822	0	0	0	0	0.075	0	0	0.477	0.496
Isl1	Hand2	10090.ENSMUSP00000044879	10090.ENSMUSP00000044983	0	0	0	0	0	0.067	0	0.716	0.723
Krt14	Col7a1	10090.ENSMUSP00000007272	10090.ENSMUSP00000107701	0	0	0	0	0.105	0.095	0	0.458	0.523
Krt14	Lgr5	10090.ENSMUSP00000007272	10090.ENSMUSP00000020350	0	0	0	0	0.046	0.075	0	0.512	0.532
Krt14	Krt6a	10090.ENSMUSP00000007272	10090.ENSMUSP00000023788	0	0	0	0.725	0.404	0.113	0	0.225	0.555
Krt14	Dsp	10090.ENSMUSP00000007272	10090.ENSMUSP00000115062	0	0	0	0	0.096	0.336	0	0.463	0.650
Krt14	Krt15	10090.ENSMUSP00000007272	10090.ENSMUSP00000103034	0	0	0.054	0.961	0.498	0	0.400	0.069	0.699
Krt14	Krt17	10090.ENSMUSP00000007272	10090.ENSMUSP00000079699	0	0	0.051	0.976	0.637	0	0.400	0.059	0.779
Krt14	Krt16	10090.ENSMUSP00000007272	10090.ENSMUSP00000007280	0	0	0.050	0.980	0.659	0	0.400	0.054	0.792
Krt14	Col17a1	10090.ENSMUSP00000007272	10090.ENSMUSP00000026045	0	0	0	0	0.387	0.095	0	0.670	0.801
Krt14	Krt5	10090.ENSMUSP00000007272	10090.ENSMUSP00000023709	0	0	0.105	0.746	0.822	0.859	0	0.985	0.999
Krt15	Krt14	10090.ENSMUSP00000103034	10090.ENSMUSP00000007272	0	0	0.054	0.961	0.498	0	0.400	0.069	0.699
Krt15	Krt16	10090.ENSMUSP00000103034	10090.ENSMUSP00000007280	0	0	0.057	0.956	0.192	0	0.400	0.066	0.516
Krt15	Lgr5	10090.ENSMUSP00000103034	10090.ENSMUSP00000020350	0	0	0	0	0	0.075	0	0.613	0.627
Krt15	Krt5	10090.ENSMUSP00000103034	10090.ENSMUSP00000023709	0	0	0.083	0.778	0.714	0.129	0	0.189	0.790
Krt15	Krt6a	10090.ENSMUSP00000103034	10090.ENSMUSP00000023788	0	0	0	0.764	0.234	0.136	0	0.175	0.406
Krt15	Col17a1	10090.ENSMUSP00000103034	10090.ENSMUSP00000026045	0	0	0	0	0.348	0.095	0	0.414	0.624
Krt15	Krt17	10090.ENSMUSP00000103034	10090.ENSMUSP00000079699	0	0	0.056	0.961	0.268	0	0.400	0.066	0.561
Krt16	Krt14	10090.ENSMUSP00000007280	10090.ENSMUSP00000007272	0	0	0.050	0.980	0.659	0	0.400	0.054	0.792
Krt16	Krt15	10090.ENSMUSP00000007280	10090.ENSMUSP00000103034	0	0	0.057	0.956	0.192	0	0.400	0.066	0.516
Krt16	Col17a1	10090.ENSMUSP00000007280	10090.ENSMUSP00000026045	0	0	0	0	0.278	0.095	0	0.326	0.522
Krt16	Krt5	10090.ENSMUSP00000007280	10090.ENSMUSP00000023709	0	0	0.112	0.751	0.361	0.267	0	0.355	0.696
Krt16	Krt17	10090.ENSMUSP00000007280	10090.ENSMUSP00000079699	0	0	0.054	0.968	0.587	0	0.400	0.065	0.751
Krt16	Krt6a	10090.ENSMUSP00000007280	10090.ENSMUSP00000023788	0	0	0.087	0.740	0.613	0.113	0	0.699	0.893
Krt17	Krt14	10090.ENSMUSP00000079699	10090.ENSMUSP00000007272	0	0	0.051	0.976	0.637	0	0.400	0.059	0.779
Krt17	Krt16	10090.ENSMUSP00000079699	10090.ENSMUSP00000007280	0	0	0.054	0.968	0.587	0	0.400	0.065	0.751
Krt17	Krt5	10090.ENSMUSP00000079699	10090.ENSMUSP00000023709	0	0	0.100	0.720	0.567	0.465	0	0.509	0.884
Krt17	Krt6a	10090.ENSMUSP00000079699	10090.ENSMUSP00000023788	0	0	0	0.721	0.328	0.113	0	0.495	0.673
Krt17	Col17a1	10090.ENSMUSP00000079699	10090.ENSMUSP00000026045	0	0	0	0	0.289	0.095	0	0.253	0.477
Krt17	Dsp	10090.ENSMUSP00000079699	10090.ENSMUSP00000115062	0	0	0	0	0.082	0.062	0	0.368	0.409
Krt17	Krt15	10090.ENSMUSP00000079699	10090.ENSMUSP00000103034	0	0	0.056	0.961	0.268	0	0.400	0.066	0.561
Krt5	Krt14	10090.ENSMUSP00000023709	10090.ENSMUSP00000007272	0	0	0.105	0.746	0.822	0.859	0	0.985	0.999
Krt5	Krt16	10090.ENSMUSP00000023709	10090.ENSMUSP00000007280	0	0	0.112	0.751	0.361	0.267	0	0.355	0.696
Krt5	Lgr5	10090.ENSMUSP00000023709	10090.ENSMUSP00000020350	0	0	0	0	0.047	0.075	0	0.507	0.527
Krt5	Notch3	10090.ENSMUSP00000023709	10090.ENSMUSP00000085016	0	0	0	0	0.053	0.099	0	0.356	0.403
Krt5	Col7a1	10090.ENSMUSP00000023709	10090.ENSMUSP00000107701	0	0	0	0	0.099	0.095	0	0.375	0.445
Krt5	Enpep	10090.ENSMUSP00000023709	10090.ENSMUSP00000029658	0	0	0	0	0.047	0	0	0.462	0.465
Krt5	Dsp	10090.ENSMUSP00000023709	10090.ENSMUSP00000115062	0	0	0	0	0.122	0.092	0	0.385	0.467
Krt5	Krt6a	10090.ENSMUSP00000023709	10090.ENSMUSP00000023788	0	0	0.052	0.976	0.515	0	0.400	0.080	0.712
Krt5	Krt15	10090.ENSMUSP00000023709	10090.ENSMUSP00000103034	0	0	0.083	0.778	0.714	0.129	0	0.189	0.790
Krt5	Col17a1	10090.ENSMUSP00000023709	10090.ENSMUSP00000026045	0	0	0	0	0.566	0.095	0	0.645	0.848
Krt5	Krt17	10090.ENSMUSP00000023709	10090.ENSMUSP00000079699	0	0	0.100	0.720	0.567	0.465	0	0.509	0.884
Krt6a	Krt14	10090.ENSMUSP00000023788	10090.ENSMUSP00000007272	0	0	0	0.725	0.404	0.113	0	0.225	0.555
Krt6a	Krt16	10090.ENSMUSP00000023788	10090.ENSMUSP00000007280	0	0	0.087	0.740	0.613	0.113	0	0.699	0.893
Krt6a	Krt5	10090.ENSMUSP00000023788	10090.ENSMUSP00000023709	0	0	0.052	0.976	0.515	0	0.400	0.080	0.712
Krt6a	Krt15	10090.ENSMUSP00000023788	10090.ENSMUSP00000103034	0	0	0	0.764	0.234	0.136	0	0.175	0.406
Krt6a	Col17a1	10090.ENSMUSP00000023788	10090.ENSMUSP00000026045	0	0	0	0	0.260	0.095	0	0.298	0.488
Krt6a	Krt17	10090.ENSMUSP00000023788	10090.ENSMUSP00000079699	0	0	0	0.721	0.328	0.113	0	0.495	0.673
Lgr5	Krt14	10090.ENSMUSP00000020350	10090.ENSMUSP00000007272	0	0	0	0	0.046	0.075	0	0.512	0.532
Lgr5	Isl1	10090.ENSMUSP00000020350	10090.ENSMUSP00000044879	0	0	0	0	0.052	0	0	0.410	0.418
Lgr5	Igfbp5	10090.ENSMUSP00000020350	10090.ENSMUSP00000027377	0	0	0	0	0.054	0.127	0	0.428	0.487
Lgr5	Cxcr4	10090.ENSMUSP00000020350	10090.ENSMUSP00000053489	0	0	0	0	0	0	0	0.521	0.521
Lgr5	Krt5	10090.ENSMUSP00000020350	10090.ENSMUSP00000023709	0	0	0	0	0.047	0.075	0	0.507	0.527
Lgr5	Krt15	10090.ENSMUSP00000020350	10090.ENSMUSP00000103034	0	0	0	0	0	0.075	0	0.613	0.627
Lhx4	Isl1	10090.ENSMUSP00000027740	10090.ENSMUSP00000044879	0	0	0	0.762	0.059	0.611	0.800	0.234	0.936
Lin7a	Tspoap1	10090.ENSMUSP00000020057	10090.ENSMUSP00000048063	0	0	0	0	0.086	0	0.500	0.206	0.605
Lrrn4	Upk1b	10090.ENSMUSP00000057005	10090.ENSMUSP00000052469	0	0	0	0	0.462	0	0	0.190	0.545
Lrrn4	Upk3b	10090.ENSMUSP00000057005	10090.ENSMUSP00000062312	0	0	0	0	0.590	0	0	0.676	0.861
Map2	Il1b	10090.ENSMUSP00000109646	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.425	0.425
Mdk	Pparg	10090.ENSMUSP00000028672	10090.ENSMUSP00000000450	0	0	0	0	0	0	0	0.500	0.499
Mdk	Epha2	10090.ENSMUSP00000028672	10090.ENSMUSP00000006614	0	0	0	0	0	0.044	0	0.411	0.412
Mdk	Mmp13	10090.ENSMUSP00000028672	10090.ENSMUSP00000015394	0	0	0	0	0	0	0	0.587	0.587
Mdk	Adamts5	10090.ENSMUSP00000028672	10090.ENSMUSP00000023611	0	0	0	0	0	0	0	0.487	0.487
Mdk	Pmaip1	10090.ENSMUSP00000028672	10090.ENSMUSP00000025399	0	0	0	0	0	0	0	0.441	0.441
Mdk	Twist1	10090.ENSMUSP00000028672	10090.ENSMUSP00000040089	0	0	0	0	0.046	0	0	0.474	0.476
Mdk	Cxcr4	10090.ENSMUSP00000028672	10090.ENSMUSP00000053489	0	0	0	0	0.044	0	0	0.521	0.522
Mdk	Ptgs2	10090.ENSMUSP00000028672	10090.ENSMUSP00000035065	0	0	0	0	0	0	0	0.551	0.551
Mdk	Il1b	10090.ENSMUSP00000028672	10090.ENSMUSP00000028881	0	0	0	0	0	0	0	0.604	0.604
Mmp13	Pparg	10090.ENSMUSP00000015394	10090.ENSMUSP00000000450	0	0	0	0	0	0.070	0	0.461	0.477
Mmp13	Igfbp5	10090.ENSMUSP00000015394	10090.ENSMUSP00000027377	0	0	0	0	0.077	0.097	0	0.342	0.403
Mmp13	Arg1	10090.ENSMUSP00000015394	10090.ENSMUSP00000020161	0	0	0	0	0.091	0	0	0.422	0.452
Mmp13	Mdk	10090.ENSMUSP00000015394	10090.ENSMUSP00000028672	0	0	0	0	0	0	0	0.587	0.587
Mmp13	Cxcr4	10090.ENSMUSP00000015394	10090.ENSMUSP00000053489	0	0	0	0	0	0	0	0.661	0.661
Mmp13	Ptgs2	10090.ENSMUSP00000015394	10090.ENSMUSP00000035065	0	0	0	0	0.144	0	0	0.674	0.709
Mmp13	Il1b	10090.ENSMUSP00000015394	10090.ENSMUSP00000028881	0	0	0	0	0.195	0	0	0.803	0.834
Mmp13	Adamts5	10090.ENSMUSP00000015394	10090.ENSMUSP00000023611	0	0	0	0	0.051	0	0	0.893	0.894
Naip6	Il1b	10090.ENSMUSP00000112867	10090.ENSMUSP00000028881	0	0	0	0	0.107	0	0	0.356	0.400
Naip6	Tlr5	10090.ENSMUSP00000112867	10090.ENSMUSP00000106625	0	0	0	0	0.096	0.059	0	0.392	0.438
Notch3	Pparg	10090.ENSMUSP00000085016	10090.ENSMUSP00000000450	0	0	0	0	0.078	0.060	0	0.405	0.439
